id,dorsal,fecha,rpe
302,14,2026-08-16,9
303,15,2026-08-16,8
304,17,2026-08-16,5
305,18,2026-08-16,5
306,20,2026-08-16,9
307,23,2026-08-16,6
308,2,2026-08-18,5
309,3,2026-08-18,5
310,4,2026-08-18,4
311,5,2026-08-18,5
312,6,2026-08-18,5
313,7,2026-08-18,7
314,9,2026-08-18,4
315,10,2026-08-18,5
316,12,2026-08-18,5
317,13,2026-08-18,5
318,14,2026-08-18,5
319,15,2026-08-18,5
320,17,2026-08-18,6
321,18,2026-08-18,4
322,19,2026-08-18,6
323,20,2026-08-18,5
324,21,2026-08-18,6
325,22,2026-08-18,6
326,23,2026-08-18,5
327,25,2026-08-18,6
328,1,2026-08-19,5
329,3,2026-08-19,7
330,4,2026-08-19,5
331,5,2026-08-19,5
332,6,2026-08-19,7
333,7,2026-08-19,5
334,9,2026-08-19,4
335,10,2026-08-19,7
336,11,2026-08-19,5
337,12,2026-08-19,3
338,13,2026-08-19,4
339,14,2026-08-19,5
340,15,2026-08-19,4
341,16,2026-08-19,6
342,17,2026-08-19,5
343,18,2026-08-19,6
344,19,2026-08-19,4
345,20,2026-08-19,5
346,21,2026-08-19,4
347,22,2026-08-19,6
348,23,2026-08-19,5
349,25,2026-08-19,5
350,1,2026-08-20,5
351,3,2026-08-20,4
352,4,2026-08-20,4
353,5,2026-08-20,5
354,6,2026-08-20,4
355,7,2026-08-20,4
356,9,2026-08-20,5
357,10,2026-08-20,6
358,11,2026-08-20,5
359,13,2026-08-20,7
360,14,2026-08-20,4
361,15,2026-08-20,5
362,16,2026-08-20,6
363,17,2026-08-20,4
364,18,2026-08-20,4
365,19,2026-08-20,5
366,20,2026-08-20,4
367,21,2026-08-20,3
368,22,2026-08-20,6
369,23,2026-08-20,4
370,1,2026-08-21,6
371,2,2026-08-21,3
372,3,2026-08-21,4
373,5,2026-08-21,5
374,6,2026-08-21,4
375,7,2026-08-21,4
376,9,2026-08-21,4
377,10,2026-08-21,4
378,11,2026-08-21,3
379,12,2026-08-21,3
380,13,2026-08-21,4
381,15,2026-08-21,4
382,16,2026-08-21,3
383,17,2026-08-21,3
384,18,2026-08-21,3
385,19,2026-08-21,3
386,20,2026-08-21,4
387,21,2026-08-21,5
388,22,2026-08-21,4
389,23,2026-08-21,6
390,25,2026-08-21,4
391,1,2026-08-23,8
392,2,2026-08-23,7
393,5,2026-08-23,8
394,6,2026-08-23,7
395,10,2026-08-23,8
396,11,2026-08-23,8
397,14,2026-08-23,9
398,15,2026-08-23,5
399,17,2026-08-23,5
400,19,2026-08-23,6
401,23,2026-08-23,10
