id,partido_id,dorsal,titular,min_entra,min_sale,asistencias,amarillas,rojas
194,66,8,true,0,90,0,0,0
195,66,9,false,75,90,0,0,0
196,66,10,true,0,90,1,0,0
197,66,11,false,80,90,0,0,0
198,66,12,true,0,75,1,0,0
199,66,14,true,0,63,0,0,0
200,66,16,true,0,90,0,0,0
201,66,17,false,70,90,0,0,0
202,66,18,false,63,90,0,0,0
203,66,23,true,0,80,0,0,0
204,71,1,true,0,90,0,0,0
205,71,2,true,0,90,0,0,0
206,71,3,true,0,55,0,0,0
207,71,4,true,0,90,0,0,0
208,71,5,true,0,55,0,1,0
209,71,7,false,55,90,0,0,0
210,71,8,true,0,90,1,0,0
211,71,9,false,80,90,0,0,0
212,71,10,true,0,90,0,0,0
213,71,16,true,0,90,0,0,0
214,71,17,true,0,90,0,0,0
215,71,19,false,63,90,0,0,0
216,71,20,true,0,63,0,0,0
217,71,22,false,55,90,0,0,0
218,71,23,true,0,80,0,0,0
219,76,1,true,0,90,0,0,0
220,76,2,false,63,90,0,0,0
221,76,3,true,0,90,0,0,0
222,76,4,false,68,90,0,0,0
223,76,5,true,0,67,0,0,1
224,76,6,true,0,63,0,0,0
225,76,8,true,0,38,0,0,0
226,76,9,true,0,90,0,0,0
227,76,10,false,80,90,0,0,0
228,76,11,true,0,80,0,0,0
229,76,14,true,0,90,0,0,0
230,76,15,true,0,90,0,0,0
231,76,19,false,78,90,0,0,0
232,76,20,true,0,68,1,0,0
233,76,21,true,0,78,0,0,0
234,76,23,false,38,90,0,0,0
235,81,1,true,0,90,0,0,0
236,81,2,true,0,90,0,1,0
237,81,3,true,0,90,0,0,0
238,81,4,false,80,90,0,1,0
239,81,6,true,0,90,0,0,0
240,81,9,false,55,90,0,0,0
241,81,10,true,0,90,0,0,0
242,81,11,true,0,90,0,0,0
243,81,12,true,0,80,0,0,0
244,81,14,true,0,80,0,0,0
245,81,15,true,0,75,0,0,0
246,81,17,false,80,90,0,0,0
247,81,18,false,75,90,0,0,0
248,81,20,true,0,90,0,0,0
249,81,23,true,0,55,0,0,0
250,86,1,true,0,90,0,0,0
251,86,2,true,0,90,0,0,0
252,86,3,true,0,90,0,0,0
253,86,4,true,0,55,0,0,0
254,86,5,true,0,90,0,0,0
255,86,6,true,0,55,0,0,0
256,86,10,true,0,90,0,0,0
257,86,11,true,0,90,0,0,0
258,86,14,true,0,90,0,0,0
259,86,15,false,80,90,0,0,0
260,86,17,false,55,90,0,0,0
261,86,18,true,0,63,0,0,0
262,86,19,false,55,90,0,0,0
263,86,20,false,63,90,0,0,0
264,86,23,true,0,80,0,0,0
